Ticker,Company,Market,Price at Analysis,Category,Verdict,Stars,Moat,Quality,Val,Mgmt,AI Overlay,AI Score,Phase,Flywheel,Conditions Met,Horizon,Base IV,MoS Entry Zone,Thesis,Report File,Last Analysis Date
KEI,KEI Industries Ltd,NSE,5630,C,WATCH★★★,3,B,B-,C,B+,⚪ NEUTRAL,46,4,Cosmetic,0,5-7yr,"₹3,800","₹3,200-3,600","India #2 cable maker riding infra+data centre supercycle; negative ERP −4.96% demands patience; entry ₹3,200-3,600",KEI_qv_report.html,2026-04-20
LLY,Eli Lilly and Company,NYSE,1098,B,WATCH★★★★,4,A-,A,B,A-,🟢 WIDENER,72,3,FORMING,3,7-10yr,$982,$786–$972,"Dominant GLP-1 franchise (Mounjaro/Zepbound) driving 45%+ revenue CAGR; oral GLP-1 (orforglipron, FDA filing submitted) unlocks 5-10x patient TAM expansion; NVIDIA TuneLab + Insilico Medicine ($2.75B) confirm AI WIDENER; one 15-20% pullback to $920-$972 converts WATCH to BUY.",LLY_qv_report.html,2026-06-23
LT,Larsen & Toubro Ltd,NSE,4210,C,WATCH★★★★,4,B+,B+,B-,A-,🟢 WIDENER,70,2,Forming,2,7-10yr,"₹4,010","₹3,600–3,700","India infra mega-cycle proxy; record ₹5.8L Cr order book; AI WIDENER via LTTS Engineering Intelligence; BUY at ₹3,600–3,700 (200-DMA zone)",LT_qv_report.html,2026-04-22
LTM,LTM Limited (formerly LTIMindtree),NSE,3840,C,WATCH★★★,3,B+,B+,C+,B+,🔴 THREAT,42,2,Forming,1,3-5yr,"₹4,324","₹2,900–3,200","Mature IT compounder pivoting to AI via BlueVerse; AI deflation threat compresses entry to ₹2,900–3,200; await flywheel confirmation",LTM_qv_report.html,2026-05-26
MCX,Multi Commodity Exchange of India Ltd,NSE,2804.5,C,WATCH★★★★,4,B+,A-,D+,B+,🟢 WIDENER,71,2,Forming,1,7-10yr,"₹1,348","₹2,100-2,400",Near-monopoly commodity exchange with 95.9% market share; exceptional FY26 earnings on gold supercycle; wait for price normalisation to MoS entry zone,MCX_qv_report.html,2026-05-26
MELI,MercadoLibre,NASDAQ,1635.15,B,BUY★★★★★,5,A-,B+,A+,A-,🟢 WIDENER,78,3,Confirmed,4,5-7yr,"$2,300","$1,550-1,840",Latin America's dominant commerce+fintech flywheel; 49% revenue growth (fastest in 4 years); margin compression deliberate from credit provisioning not economic deterioration; NIMAL 36.2% intact; FCF yield 14%; buy at 40% drawdown from highs,MELI_qv_report.html,2026-05-11
META,"Meta Platforms, Inc.",NYSE,577.22,B,WATCH★★★★,4,A-,B+,B-,B,🟢 WIDENER,87,3,Confirmed,0,5-7yr,$808,$490-$520,Confirmed AI data flywheel on 3.54B DAP drives structural ad pricing power; CapEx cycle compresses FCF 2025-27 but builds durable moat distance,META_qv_report.html,2026-05-24
MRVL,"Marvell Technology, Inc.",NASDAQ,310.58,B,WATCH★★,2,B-,C+,D+,B,🟢 WIDENER,58,2,Feature,0,3-5yr,$67,$90-110,"Genuine multi-hyperscaler AI-silicon design-win franchise trading at ~4.6x blended intrinsic value ($67 Base) — quality real, price extreme; wait for $90-110 correction.",mrvl_qv_report.html,2026-06-17
MSFT,Microsoft,NASDAQ,379.4,C,WATCH★★★★,4,A-,A-,B+,A,🟢 WIDENER,74,3,Forming,2,7-10yr,$420,$340-365,Copilot flywheel forming; at 5yr cheapest valuation; RSI 27; Azure +39%; AI score 74/100,MSFT_buffett_analysis__1_.html,2026-03-01
MU,"Micron Technology, Inc.",NASDAQ,1133.99,B,WATCH★★★★,4,B+,A-,C+,A-,🟢 WIDENER,78,3,Forming,2,5-7yr,$387,$380-430,The sole US HBM architect entering the most profitable period in memory history — wait for the entry zone,MU_qv_report.html,2026-05-11
NAM-INDIA,Nippon Life India Asset Management,NSE,1187,C,WATCH★★★,3,A-,A-,C+,A,⚪ NEUTRAL,42,2,Cosmetic,2,5-7yr,₹749,₹600-680,India's #4 AMC riding the financialization megatrend — A-grade franchise at 46× P/E demands patience for entry near ₹600-680; blended base IV ₹749.,nami_qv_report.html,2026-06-01
NATCOPHARM,Natco Pharma Limited,NSE,889.4,C,WATCH★★★★,4,B-,B+,C+,B+,⚪ NEUTRAL,28,1,Cosmetic,0,7-10yr,"₹1,181","₹920–1,000","Post-Revlimid trough into semaglutide FTF ramp; fortress balance sheet; credible management; wait for MoS zone ₹920-1,000",NATCOPHARM_qv_report.html,2026-05-25
NBIS,Nebius Group N.V.,NASDAQ,286.69,F,WATCH★★★★,4,A-,B+,C+,B+,🌀 AI CORE,92,3,Forming,0,5-7yr,$163,$122–130,Best-positioned independent AI cloud hyperscaler; NVIDIA preferred access + owned DCs + $50B committed backlog; 684% YoY growth; watch for MoS entry at $122–130.,NBIS_qv_report.html,2026-05-18
NETWEB,Netweb Technologies India Ltd,NSE,5068,B,WATCH★★★,3,B,B+,D+,B+,🟢 WIDENER,68,2,Feature,0,3-5yr,"₹3,676","₹2,800–3,200",India's premier Make-in-India sovereign AI infrastructure OEM; above base IV with no MoS at current price,NETWEB_qv_report.html,2026-05-04
NFLX,Netflix Inc.,NASDAQ,77.38,C,WATCH★★★★,4,A,B+,C+,A-,🟢 WIDENER,88,4,Confirmed,2,7-10yr,$86 (AI-adjusted blended),$69-85 (ideal $73-85),AI data flywheel confirmed 9.2/10; margin 18%→29.5%→31.5%; $9.5B FCF; WATCH until $73-85 entry with 20% MoS,NFLX_qv_report.html,2026-04-18
NOW,ServiceNow Inc.,NYSE,95.04,C,WATCH★★★★,4,A-,A-,A,B+,🟢 WIDENER,78,3,Forming,0,3-5yr,$196,$82–100,"Enterprise AI workflow orchestration platform with 98% renewal rate, 22% growth and 35% FCF margin trading at 56% discount to base IV post-earnings selloff",NOW_qv_report.html,2026-04-24
NU,Nu Holdings Ltd. (Nubank),NYSE,12.71,B,WATCH★★★★,4,A-,A-,B+,A-,🟢 WIDENER,82,3,Confirmed,0,5-7yr,$21–23,$12–14,"World's largest digital bank (131M customers) with confirmed nuFormer data flywheel (3x credit decision quality), 33% ROE, sub-$1 cost-to-serve — LatAm fintech compounder at a reasonable but not deep-value price",NU_qv_report.html,2026-04-19
NUVAMA,Nuvama Wealth Management Ltd,NSE,1735,C,WATCH★★★,3,B+,B,D,C+,⚪ NEUTRAL,69,2,Forming,1,5-7yr,"₹1,392 (DCF) / ₹1,101 blended","₹1,100–₹1,250 (DCF MoS: ₹1,114)","Structural wealth mgmt compounder in India's HNI boom — blocked by 62.8% promoter pledge, FY26 PAT decel to 5.6%, and price 45% above blended IV",NUVAMA_qv_report.html,2026-05-12
NVDA,NVIDIA Corporation,NASDAQ,210.69,B,WATCH★★★★,4,A+,A,B,A-,🟢 WIDENER,84,3,Confirmed,0,5-7yr,$256,$175–200,CUDA data flywheel 10/10 — world's AI compute monopoly at entry zone; ROIC 114%; FCF $96.6B; watch for gross margin recovery and Vera Rubin ramp,NVDA_qv_report.html,2026-04-13
NVO,Novo Nordisk,NYSE,43.19,C,WATCH★★★★,4,A-,B+,A-,B+,🟢 WIDENER,65,3,Forming,2,5-7yr,$85,$44-49,GLP-1 trough year; 75% from peak; oral pill + AI pipeline; secular obesity tailwind; RSI 19 capitulation,novo_nordisk_buffett_analysis.html,2026-04-01
OKLO,Oklo Inc.,NYSE,61.17,D,WATCH★★★★,4,C+,B-,C,A-,🟢 WIDENER,71,1,Forming,0,5-7yr,$42-55,$31-41,"Only vertically integrated US fast-fission developer with 14 GW AI data center pipeline, DOE-authorized build underway at INL, and $2.54B cash — a structural AI power infrastructure play.",OKLO_qv_report.html,2026-06-05
ORCL,Oracle Corporation,NYSE,184.29,C,WATCH★★★★,4,B+,B-,B,A-,🟢 WIDENER,72,3,Forming,0,3-5yr,~$170,$120-155,AI infrastructure re-rating; $553B RPO + OCI 84% growth vs 56% price drawdown from ATH; FCF CapEx cycle investment at entry zone,ORCL_qv_report.html,2026-04-13
ORKLAINDIA,Orkla India Limited,NSE,620.95,C,WATCH★★★,3,B+,B-,C+,B,⚪ NEUTRAL,40,4,Cosmetic,1,3-5yr,₹446 (blended); P/E base ₹585,₹480–540,MTR+Eastern South India heritage moat; convenience foods growing 19%; OFS IPO + 32x PE limit conviction,ORKLAINDIA_qv_report.html,2026-04-18
PANW,"Palo Alto Networks, Inc.",NASDAQ,287.78,C,WATCH★★★,3,A-,A-,C-,B+,🟢 WIDENER,72,3,Forming,0,7-10yr,~$145,$130–155,Best-in-class AI cybersecurity platform; Unit 42 data flywheel forming 7.5/10; platformization lock-in deepening — negative ERP at $175 demands entry discipline at $130–155,PANW_qv_report.html,2026-04-26
PATH,UiPath Inc.,NYSE,10.27,C,WATCH★★★★,4,B+,B,A-,B-,🟢 WIDENER,75,2,Forming,1,5-7yr,$14-15,$9.50-11.00,Enterprise automation leader at 10.5x EV/FCF with 83% gross margins; agentic AI pivot + $1.69B net cash provide asymmetric upside vs cautious guidance risk,PATH_qv_report.html,2026-04-14
PL,Planet Labs,NYSE,28.23,F,WATCH★★★★,4,A,B+,B-,A-,🌀 AI CORE,76,3,Confirmed,2,5-7yr,N/A,$27-31,Petabyte Earth archive = permanent AI moat; flywheel CONFIRMED; R40=31→40 FY27 target; post-25% surge prevents entry,PlanetLabs_buffett_analysis_v5.html,2026-03-01
PLTR,Palantir Technologies,NASDAQ,128.47,F,WATCH★★★★,4,B+,A-,D+,B+,🌀 AI CORE,85,3,Forming,0,5-7yr,~$87,$85–100,AI OS with Ontology moat; R40=127; GM=81%; NDR=139%; FY26 +61% guided; entry ≤$100 (30× FY26 revenue),PLTR_qv_report.html,2026-04-10
POLYCAB,Polycab India Limited,NSE,10105,C,WATCH★★★★,4,B+,B+,D+,A-,⚪ NEUTRAL,28,0,Cosmetic,0,5-7yr,"₹5,600","₹5,200–₹5,700","India's #1 wires & cables compounder — ROCE 30%, zero debt, Project Spring; trading 42% above base IV at ₹7,967",POLYCAB_qv_report.html,2026-04-27
PVRINOX,PVR INOX Limited,NSE,948,D,WATCH★★★,3,C+,C,C+,B-,⚪ NEUTRAL,35,1,Cosmetic,2,5-7yr,"₹1,231",₹860-923,India's largest multiplex chain returns to profitability in FY26 (₹332.8 Cr PAT) after merger pains; watch for occupancy recovery and price correction to MoS zone before initiating.,PVRINOX_qv_report.html,2026-05-21
QCOM,QUALCOMM Incorporated,NASDAQ,215,C,WATCH★★★★,4,A-,A-,B+,A,🟢 WIDENER,66,2,FORMING,0,5-7yr,$225,$175-$195,Edge-to-cloud AI pivot; Dragonfly data-centre CPU+accelerators; $40B non-handset revenue target FY2029; Meta/Microsoft anchor DC customers; Modular acquisition adds software layer; automotive $65B design-win pipeline,QCOM_qv_report.html,2026-06-25
RAJESHEXPO,Rajesh Exports,NSE,97.51,E,AVOID,0,F,F,F,D-,⚪ NEUTRAL,5,0,Cosmetic,0,N/A,N/A,N/A,Gold commodity pass-through; ROE 0.61%; 9 governance red flags; -88% from ATH; Buffett framework does not apply,RajeshExports_buffett_analysis_v5.html,2026-03-01
RELIANCE,Reliance Industries Limited,NSE,1310,C,WATCH★★★,3,B,C+,C+,A-,🟢 WIDENER,74,2,Forming,2,5-7yr,"₹1,160","₹925–₹1,000","Real DCF/SOTP triangulation (incl. Jio IPO-anchored sum-of-parts) puts base IV at ~₹1,160 vs price ₹1,310 — quality story, but not yet a margin-of-safety entry.",RELIANCE_qv_report.html,2026-06-21
RKLB,Rocket Lab Corporation,NASDAQ,107.24,B,WATCH★★★★,4,B+,B-,C,B+,⚪ NEUTRAL,58,3,Feature,1,5-7yr,$48-56,$45-55,Only public vertically-integrated Western space company; Electron dominant; Neutron = binary catalyst; priced for perfection at $82.93 (52x fwd EV/Rev); wait for $45-55 entry,RKLB_qv_report.html,2026-04-19
RRKABEL,R R Kabel Ltd,NSE,2315,C,WATCHLIST,4,B+,CLEAN,D,A+,NEUTRAL,35,1,COSMETIC,1,7-10 years,1351.79,946.25,"Scale-advantaged cable manufacturer with top-3 brand recall, massive dealer grid, and robust capital productivity riding Indian infrastructure tailwinds, currently trading at a premium to base intrinsic value.",RRKABEL_qv_report.html,2026-05-23
SANGHVIMOV,Sanghvi Movers Limited,NSE / BSE India,415,C,WATCH ★★★★,4,B-,B-,B,B,⚪ NEUTRAL,38/100,N/A,COSMETIC,3/6,3-5 years,₹480,₹360–₹384,"India's largest crane rental co. (Asia #1, Global #5) riding the infra capex supercycle (NIP ₹111L Cr, 500GW renewables). Business model transitioning from pure crane rental to diversified lifting + Wind EPC (Sangreen) + KSA expansion under Elevate 2030. ROIC 16.7%, ROCE 16.7%, Revenue CAGR 33% (3yr). FCF negative due to aggressive growth capex (₹629 Cr FY26). EV/EBITDA 10.5x — attractive vs history. Narrow moat (fleet scale, depot network, operator expertise). WATCH at ₹415; BUY on correction to ₹360–384 (25% MoS from Base IV ₹480).",SANGHVIMOV_qv_report.html,2026-06-22
SENCO,Senco Gold Limited,NSE,340,C,WATCH★★★,3,B-,C+,B-,B,⚪ NEUTRAL,30,4,Cosmetic,1,5-7yr,~₹375,₹275–310,Organised jewellery formalisation play; Eastern India dominant brand; 11x P/E vs 40–70x peers; deep value if OCF improves,SENCO_qv_report.html,2026-04-22
SHADOWFAX,Shadowfax Technologies Ltd,NSE,222,B,WATCH★★★,3,B-,C+,D+,B-,🟢 WIDENER,58,2,Forming,0,3-5yr,₹155-175,₹130-155,India's fastest-growing 3PL; SF Maps data flywheel forming; operating leverage activating; zero MoS at ₹188,SHADOWFAX_qv_report.html,2026-05-20
SMCI,"Super Micro Computer, Inc.",NASDAQ,30.66,B,WATCH★★★,3,B-,C+,B-,C,🟢 WIDENER,44,2,Cosmetic,0,3-5yr,$38,$28–34,AI infrastructure pick-and-shovel; DLC leader with governance overhang; margin recovery to ≥11% GM is the binary thesis trigger,SMCI_qv_report.html,2026-05-30
SNOW,Snowflake Inc.,NYSE,232.29,C,WATCH★★★★,4,B+,B+,A-,B,🟢 WIDENER,63,3,Forming,0,5-7yr,$194,$120–155,AI Data Cloud pivot; Cortex 50% adoption; RPO $9.77B +42%; trading at 8.3x NTM EV/Rev — 40% discount to SaaS peers; class action overhang suppressing institutional accumulation,SNOW_qv_report.html,2026-04-16
SOFI,"SoFi Technologies, Inc.",NASDAQ,17.91,B,WATCH★★★,3,B,C+,C,C,⚪ NEUTRAL,38,3,Feature,0,5-7yr,$11–16,$10–13,Digital bank + Galileo B2B platform; bank charter is the moat; Muddy Waters accounting cloud (Mar 2026) prevents BUY — WATCH until restatement risk resolved,SOFI_qv_report.html,2026-04-14
SUPRIYA,Supriya Lifescience Ltd.,NSE,932,C,WATCH★★★,3,B+,B,C+,B,⚪ NEUTRAL,28,2,Cosmetic,2,5-7yr,₹635,₹500–520,"India's leading anti-histamine API exporter with USFDA/EDQM regulatory moat; China+1 tailwind; targeting ₹1,000 Cr FY27; near-debt-free; ₹603 Cr tax demand overhang limits entry conviction",SUPRIYA_qv_report.html,2026-04-17
SURYODAY,Suryoday Small Finance Bank Ltd,NSE,174.76,D,WATCH★★★,3,B-,C+,B,B-,⚪ NEUTRAL,36,3,Feature,0,3-5yr,₹185,₹95–115,Category D turnaround at 0.63x book; GNPA peaking (8.5%→6.5%); CGFMU sovereign cover on net NPA; deposit franchise +32% YoY; recovery to ROA 1.5% by FY28 = 2–3x from ₹95–115 entry,SURYODAY_qv_report.html,2026-04-13
SWSOLAR,Sterling & Wilson Renewable Energy Ltd,NSE,236.5,D,WATCH★★★,3,C+,C,B-,C+,⚪ NEUTRAL,28,0,Cosmetic,3,3-5yr,₹230,₹155–175,"Reliance-backed solar EPC turnaround; record ₹10,062 Cr FY26 order inflows; 500 GW India RE tailwind; margin normalisation to 5%+ is the gating condition",SWSOLAR_qv_report.html,2026-04-23
SYM,Symbotic Inc.,NASDAQ,41.68,B,WATCH★★★,,,,,,🟢 WIDENER,,,,,,,$40-44,,,2026-04-07
TATAPOWER,Tata Power Company Ltd,NSE / BSE India,402,D,WATCH,★★,C+,C-,C,B,WIDENER (mild),28,Phase 2 — Early grid-AI deployment,FEATURE (3/10),0/5,7-10 years (Level 5 incumbent),₹195-₹235,₹135-₹165,"India's largest integrated private power utility mid-pivot from coal to 70% renewable capacity by 2030. Real long-horizon growth thesis (23 GW TPREL target, data-centre demand tailwind, CRISIL AA+), but trailing ROIC ~10-11%, deeply negative FCF (-₹7,677 Cr FY26), fast-rising debt (₹76,141 Cr), and Q4 FY26 PAT miss mean the stock at ₹402 is pricing-in execution the company has not yet delivered. Wait for FCF inflection and/or meaningful price correction into MoS zone.",TATAPOWER_qv_report.html,2026-06-22
TCS,Tata Consultancy Services,NSE,2135.9,C,WATCH★★★,3,B+,A-,C+,A-,🔴 THREAT,36,2,Feature,0,3-5yr,"₹1,931","₹1,545–₹1,800","India's IT bellwether at decade-low P/E; strong FCF fortress but structural AI threat to headcount model; wait for ₹1,800 entry.",TCS_qv_report.html,2026-05-11
TIPSMUSIC,Tips Music Limited,NSE,650,B,WATCH★★★★,4,A-,A,C+,B+,🔴 THREAT,32,1,Cosmetic,0,5-7yr,₹565,₹480-520,India's streaming royalty perpetuity engine — 150K song catalogue monetising digital India; AI threat medium-term warrants MoS discipline,TIPSMUSIC_qv_report.html,2026-05-27
TRAVELFOOD,Travel Food Services Ltd,NSE,1351,C,WATCH★★★,3,B+,A-,B,B,⚪ NEUTRAL,28,4,Feature,1,5-7yr,"₹1,420","₹1,100–1,180",India's only listed airport F&B concessionaire; ROIC 42%; −427-day CCC; captive monopoly at 14 of 15 largest airports; blocked by CBI FIR governance overhang + 100% OFS IPO + Delhi T3 concession renewal risk,travelfood_qv_report.html,2026-04-14
TSLA,"Tesla, Inc.",NASDAQ,400.49,B,WATCH★★★★,4,A-,C+,C,B+,🟢 WIDENER,82,3,Confirmed,0,5-7yr,$196,$220-$270,FSD data flywheel confirmed (9B+ miles); Robotaxi Phase 3 inflection; but core ROIC<WACC and 83% premium to base IV — wait for $220-270 entry,TSLA_qv_report.html,2026-04-15
TSM,Taiwan Semiconductor Manufacturing Company (TSMC),NYSE,462.12,C,WATCH★★★★,4,A,A,B+,A-,🟢 WIDENER,90,3,Forming,3,7-10yr,$501,$320–$355 (ideal); $376–$401 (base zone),AI infrastructure monopoly — the only foundry at 3nm/2nm scale; Level 1 picks-and-shovels of the AI supercycle; watch for 200-DMA ($344) entry with 25-30% MoS,TSM_qv_report.html,2026-04-17
UJJIVANSFB,Ujjivan Small Finance Bank,NSE,57.32,D,WATCH★★★,3,B,B-,B-,B,🟢 WIDENER,62,3,Forming,0,7-10yr,~₹57,₹42–52,MFI valley play; secured pivot 43.5% AUM; data flywheel forming on 9.9M informal-sector borrowers; UBL license pending,UJJIVANSFB_qv_report.html,2026-04-13
UNH,UnitedHealth Group,NYSE,400.96,C,WATCH★★★★,4,A-,B-,B+,B-,⚪ NEUTRAL,5,2,Confirmed,2,3-5yr,$400–$465,$260–$310,"America's most powerful healthcare platform in operational crisis — moat intact, Hemsley returned, CMS rate tailwind. At 11-12x normalized EPS, recovery thesis credible if MCR normalizes to 84% by 2027.",unh_qv_report.html,2026-04-08
UTIAMC,UTI Asset Management Company Ltd,NSE,950,C,WATCH★★★,3,B,B-,B,B-,⚪ NEUTRAL,32,4,Feature,0,5-7yr,₹847,₹678–710,India's oldest AMC with 699-district distribution and pension mandates; market share recovery under new CEO Vetri Subramaniam is the pivotal catalyst; wait for ₹710 entry.,UTIAMC_qv_report.html,2026-04-25
VIKRAMSOLR,Vikram Solar Ltd,NSE,199.89,B,WATCH★★★★,4,B+,B,B+,B+,⚪ NEUTRAL,32,2,Forming,0,5-7yr,₹310,₹195–225,India RE scale-up; at MoS entry; cell commissioning (Dec'26) is BUY trigger,VIKRAMSOLR_qv_report.html,2026-05-10
VST,Vistra Corp,NYSE,163.75,C,WATCH★★★★,4,B+,B-,B+,B+,🟢 WIDENER,62,2,Cosmetic,0,5-7yr,$175-189,$132-151,Largest US competitive generator with irreplaceable nuclear fleet positioned as primary AI data-center power beneficiary via 20-year Meta/AWS PPAs; integrated generation-retail model creates structural hedge; -32% from ATH with FCF yield 8.5%,VST_qv_report.html,2026-06-12
WAAREEENER,Waaree Energies Ltd,NSE,3126.1,B,WATCH★★★,3,B+,B+,C+,B,⚪ NEUTRAL,32,2,Cosmetic,0,3-5yr,"₹3,400","₹2,400–2,700","India's largest solar module maker (26 GW); FY26 PAT +101%; US 126% CVD overhang (final July 6); Q4 margin compression to 18.6%; entry at ₹2,400–2,700",WAAREEENER_qv_report.html,2026-05-05
WAAREERTL,Waaree Renewable Technologies Ltd,NSE,986,B,WATCH★★★★,4,B+,A-,A,B+,🟢 WIDENER,62,2,Forming,2,5-7yr,"₹1,418","₹900–1,050","India's #1 solar EPC arm: 108% revenue growth, 62.5% ROCE, near-zero debt, 2.83 GWp backlog in India's 500GW supercycle — trading at stress IV floor with BESS+data centre optionality",WAAREERTL_qv_report.html,2026-05-26
WABAG,VA Tech Wabag Limited,NSE,2001.2,C,WATCH★★,2,B+,B-,C-,A-,⚪ NEUTRAL,44,2,Feature,0,5-7yr,₹1410,₹990-1100,"Asset-light global water-tech leader compounding ROCE and record order book, but price has run ~34% ahead of blended intrinsic value — quality story, poor entry point today.",WABAG_qv_report.html,2026-06-19
WEBELSOLAR,Websol Energy System Ltd,NSE,105.25,D,AVOID,0,C+,C+,B-,D+,⚪ NEUTRAL,15,1,Cosmetic,0,3-5yr,₹151 (blended base),₹113 (theoretical — pledge blocker active),ALMM-protected solar cell manufacturer; remarkable FY26 turnaround destroyed by 89.4% promoter pledging — hard AVOID until pledge resolved,WEBELSOLAR_qv_report.html,2026-05-26
WIPRO,Wipro Limited,NSE,180.5,C,WATCH★★★,3,B-,B-,C+,B,🔴 THREAT,32,2,Feature,1,7-10yr,₹197,₹150-165,"Decade-low P/E IT compounder facing structural AI disruption to its headcount model; zero-pledge insider buying (Premji +1.16%) and a ₹250 buyback support a WATCH, with BUY trigger at ₹150-165.",WIPRO_qv_report.html,2026-06-12
YATHARTH,Yatharth Hospital & Trauma Care Services,NSE,844,C,WATCH★★★,3,B-,C+,C,C+,🟢 WIDENER,52,2,Feature,0,5-7yr,"₹1,034",₹724–776,IT investigation substantially resolved; NCR hospital expansion compounding at 32% CAGR; AI diagnostics via 5C Network widening regional moat,YATHARTH_qv_report.html,2026-05-03
